frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
22,0.73,NL,player,1,0.54,972,555,1164,802
23,0.77,NL,player,2,0.8,1585,0,1746,227
23,0.77,NL,player,3,0.74,345,80,466,255
23,0.77,NL,player,4,0.58,114,346,315,570
23,0.77,NL,player,5,0.55,422,2,496,107
23,0.77,NL,player,6,0.68,225,68,318,236
23,0.77,NL,player,7,0.87,38,402,284,643
23,0.77,NL,player,8,0.49,596,0,652,75
23,0.77,NL,player,1,0.5,982,560,1177,807
23,0.77,NL,player,53,0.58,974,559,1174,950
24,0.8,NL,player,2,0.81,1585,0,1746,227
24,0.8,NL,player,3,0.78,350,79,466,250
24,0.8,NL,player,4,0.5,116,342,319,570
24,0.8,NL,player,5,0.64,424,1,499,108
24,0.8,NL,player,6,0.69,225,68,318,235
24,0.8,NL,player,7,0.88,33,392,288,643
24,0.8,NL,player,8,0.47,596,0,652,76
24,0.8,NL,player,1,0.67,995,566,1193,811
25,0.83,NL,player,2,0.8,1585,0,1746,227
25,0.83,NL,player,3,0.83,353,79,467,250
25,0.83,NL,player,5,0.62,423,2,500,111
25,0.83,NL,player,6,0.68,226,68,319,235
25,0.83,NL,player,7,0.88,30,384,292,644
25,0.83,NL,player,1,0.65,1011,573,1211,816
26,0.87,NL,player,2,0.81,1586,0,1746,227
26,0.87,NL,player,3,0.86,356,78,469,251
26,0.87,NL,player,4,0.55,115,346,316,569
26,0.87,NL,player,5,0.62,423,2,499,112
26,0.87,NL,player,6,0.66,226,68,318,235
26,0.87,NL,player,7,0.88,29,380,293,644
26,0.87,NL,player,10,0.48,555,0,614,83
26,0.87,NL,player,1,0.51,1037,580,1234,816
27,0.9,NL,player,2,0.8,1585,0,1746,227
27,0.9,NL,player,3,0.88,362,76,475,253
27,0.9,NL,player,4,0.51,117,347,317,569
27,0.9,NL,player,5,0.61,422,4,498,112
27,0.9,NL,player,6,0.67,226,68,318,235
27,0.9,NL,player,7,0.86,30,381,291,644
27,0.9,NL,player,10,0.51,553,0,612,81
27,0.9,NL,player,11,0.47,674,0,709,42
27,0.9,NL,player,12,0.51,632,0,688,67
27,0.9,NL,player,1,0.64,1087,589,1272,815
28,0.93,NL,player,2,0.83,1585,0,1747,227
28,0.93,NL,player,3,0.85,367,76,479,252
28,0.93,NL,player,5,0.58,420,4,497,113
28,0.93,NL,player,6,0.67,225,68,318,235
28,0.93,NL,player,7,0.79,33,387,288,643
28,0.93,NL,player,8,0.51,594,0,653,82
28,0.93,NL,player,10,0.56,552,0,610,81
28,0.93,NL,player,12,0.48,632,0,688,66
29,0.97,NL,player,2,0.82,1585,0,1747,227
29,0.97,NL,player,3,0.85,373,76,484,251
29,0.97,NL,player,4,0.55,123,339,327,568
29,0.97,NL,player,5,0.73,415,3,493,113
29,0.97,NL,player,6,0.67,225,68,318,234
29,0.97,NL,player,7,0.8,34,390,286,643
29,0.97,NL,player,8,0.5,596,0,653,81
29,0.97,NL,player,10,0.51,553,0,613,83
29,0.97,NL,player,11,0.48,673,0,708,42
29,0.97,NL,player,12,0.47,633,0,689,67
30,1.0,NL,player,2,0.82,1585,0,1747,227
30,1.0,NL,player,3,0.87,379,76,489,250
30,1.0,NL,player,4,0.7,120,343,319,566
30,1.0,NL,player,5,0.71,412,2,492,113
30,1.0,NL,player,6,0.68,225,68,318,234
30,1.0,NL,player,7,0.87,37,395,284,643
30,1.0,NL,player,8,0.56,597,0,652,79
30,1.0,NL,player,10,0.49,550,0,609,80
30,1.0,NL,player,11,0.54,673,0,708,41
31,1.03,NL,player,2,0.81,1585,0,1747,227
31,1.03,NL,player,3,0.89,384,76,494,249
31,1.03,NL,player,4,0.77,117,344,316,565
31,1.03,NL,player,5,0.69,409,2,490,113
31,1.03,NL,player,6,0.67,225,67,318,235
31,1.03,NL,player,7,0.88,38,396,284,643
31,1.03,NL,player,8,0.58,597,0,653,80
31,1.03,NL,player,10,0.54,549,0,607,80
31,1.03,NL,player,11,0.56,673,0,708,41
31,1.03,NL,player,1,0.52,1158,598,1341,815
32,1.07,NL,player,2,0.82,1585,0,1747,227
32,1.07,NL,player,3,0.89,388,75,499,250
32,1.07,NL,player,4,0.72,113,344,314,564
32,1.07,NL,player,5,0.63,407,2,488,113
32,1.07,NL,player,6,0.68,225,68,318,234
32,1.07,NL,player,7,0.87,37,397,284,643
32,1.07,NL,player,8,0.6,596,0,653,81
32,1.07,NL,player,10,0.59,548,0,605,80
32,1.07,NL,player,11,0.58,673,0,708,41
32,1.07,NL,player,12,0.52,633,0,687,65
32,1.07,NL,player,1,0.86,1169,597,1360,817
33,1.1,NL,player,2,0.82,1585,0,1747,227
33,1.1,NL,player,3,0.88,390,74,501,250
33,1.1,NL,player,4,0.73,111,343,314,563
33,1.1,NL,player,6,0.69,225,68,318,235
33,1.1,NL,player,7,0.88,36,395,285,644
33,1.1,NL,player,8,0.58,595,0,653,83
33,1.1,NL,player,10,0.58,548,0,604,79
33,1.1,NL,player,11,0.57,673,0,708,41
33,1.1,NL,player,12,0.48,634,0,687,65
34,1.13,NL,player,2,0.83,1585,0,1747,227
34,1.13,NL,player,3,0.87,392,74,502,250
34,1.13,NL,player,4,0.57,110,343,313,561
34,1.13,NL,player,6,0.69,225,68,318,235
34,1.13,NL,player,7,0.85,35,393,285,644
34,1.13,NL,player,8,0.55,594,0,651,84
34,1.13,NL,player,10,0.6,548,0,603,78
34,1.13,NL,player,11,0.56,673,0,709,41
34,1.13,NL,player,12,0.45,634,0,686,64
34,1.13,NL,player,13,0.45,367,1,420,96
34,1.13,NL,player,1,0.86,1187,596,1397,820
34,1.13,NL,player,9,0.59,1453,0,1517,86
35,1.17,NL,player,2,0.83,1585,0,1747,227
35,1.17,NL,player,3,0.86,394,75,504,250
35,1.17,NL,player,4,0.59,109,335,319,563
35,1.17,NL,player,6,0.7,225,69,318,235
35,1.17,NL,player,7,0.86,35,393,285,644
35,1.17,NL,player,8,0.57,592,0,650,83
35,1.17,NL,player,10,0.58,549,0,603,78
35,1.17,NL,player,11,0.45,673,0,709,41
35,1.17,NL,player,1,0.92,1191,596,1415,827
35,1.17,NL,player,9,0.68,1453,0,1519,89
36,1.2,NL,player,2,0.83,1586,0,1746,227
36,1.2,NL,player,3,0.86,395,74,504,250
36,1.2,NL,player,4,0.49,116,333,327,563
36,1.2,NL,player,6,0.68,225,69,318,235
36,1.2,NL,player,7,0.87,35,393,285,644
36,1.2,NL,player,8,0.6,591,0,649,84
36,1.2,NL,player,10,0.58,549,0,603,78
36,1.2,NL,player,9,0.56,1453,0,1521,92
37,1.23,NL,player,2,0.82,1586,0,1747,227
37,1.23,NL,player,3,0.85,396,72,506,250
37,1.23,NL,player,4,0.64,114,331,327,564
37,1.23,NL,player,6,0.67,225,69,319,236
37,1.23,NL,player,7,0.88,34,391,285,644
37,1.23,NL,player,8,0.53,590,0,649,83
37,1.23,NL,player,10,0.53,550,0,604,78
37,1.23,NL,player,11,0.5,674,0,709,41
37,1.23,NL,player,12,0.46,637,0,689,65
37,1.23,NL,player,9,0.54,1453,0,1522,95
37,1.23,NL,player,1,0.87,1220,614,1448,840
38,1.27,NL,player,2,0.82,1586,0,1747,227
38,1.27,NL,player,3,0.84,397,70,506,249
38,1.27,NL,player,4,0.69,110,334,321,563
38,1.27,NL,player,6,0.66,225,68,319,236
38,1.27,NL,player,7,0.88,34,391,286,644
38,1.27,NL,player,10,0.53,550,0,602,76
38,1.27,NL,player,11,0.54,674,0,709,41
38,1.27,NL,player,12,0.49,637,0,689,65
38,1.27,NL,player,9,0.56,1453,0,1523,97
38,1.27,NL,player,1,0.77,1237,624,1469,845
39,1.3,NL,player,2,0.82,1586,0,1747,227
39,1.3,NL,player,3,0.86,398,69,506,249
39,1.3,NL,player,4,0.64,106,331,319,562
39,1.3,NL,player,6,0.64,225,69,318,235
39,1.3,NL,player,7,0.85,35,392,285,644
39,1.3,NL,player,10,0.51,551,0,603,76
39,1.3,NL,player,11,0.57,673,0,709,41
39,1.3,NL,player,12,0.47,637,0,688,64
39,1.3,NL,player,67,0.52,551,0,618,86
40,1.33,NL,player,2,0.82,1586,0,1747,227
40,1.33,NL,player,3,0.87,401,68,508,249
40,1.33,NL,player,4,0.64,105,329,319,560
40,1.33,NL,player,6,0.63,225,69,318,235
40,1.33,NL,player,7,0.71,37,398,283,644
40,1.33,NL,player,10,0.52,550,0,601,75
40,1.33,NL,player,11,0.55,673,0,709,41
40,1.33,NL,player,12,0.48,638,0,687,63
40,1.33,NL,player,66,0.48,585,0,630,86
41,1.37,NL,player,2,0.82,1586,0,1747,227
41,1.37,NL,player,3,0.84,402,66,509,248
41,1.37,NL,player,4,0.69,104,326,319,559
41,1.37,NL,player,6,0.62,225,69,318,235
41,1.37,NL,player,7,0.64,59,400,297,642
41,1.37,NL,player,11,0.51,673,0,709,41
41,1.37,NL,player,12,0.45,638,0,686,62
41,1.37,NL,player,9,0.56,1458,0,1529,99
41,1.37,NL,player,67,0.49,548,0,614,84
42,1.4,NL,player,2,0.82,1585,0,1746,227
42,1.4,NL,player,3,0.78,404,64,510,249
42,1.4,NL,player,4,0.62,108,327,322,559
42,1.4,NL,player,6,0.62,226,69,318,234
42,1.4,NL,player,7,0.64,71,400,302,641
42,1.4,NL,player,10,0.47,551,0,599,74
42,1.4,NL,player,11,0.47,673,0,709,41
42,1.4,NL,player,12,0.48,637,0,686,63
42,1.4,NL,player,9,0.61,1458,0,1531,102
42,1.4,NL,player,67,0.46,548,0,613,83
42,1.4,NL,player,74,0.49,29,394,279,644
43,1.43,NL,player,2,0.82,1585,0,1746,226
43,1.43,NL,player,3,0.49,408,63,514,249
43,1.43,NL,player,4,0.69,112,330,322,559
43,1.43,NL,player,6,0.62,226,69,318,234
43,1.43,NL,player,7,0.67,76,400,303,640
43,1.43,NL,player,12,0.48,637,0,684,61
43,1.43,NL,player,9,0.54,1458,0,1533,105
