frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2,global_id
59,1.97,FL,player,34,0.53,572,386,623,549,85
59,1.97,FL,player,42,0.67,521,380,577,548,-1
60,2.0,FL,player,2,0.86,333,510,447,738,43
60,2.0,FL,player,3,0.88,1564,404,1666,590,75
60,2.0,FL,player,8,0.7,582,382,648,536,-1
60,2.0,FL,player,9,0.74,476,394,544,573,28
60,2.0,FL,player,24,0.6,302,368,362,524,71
60,2.0,FL,player,34,0.54,571,385,621,550,85
60,2.0,FL,player,42,0.69,520,381,577,550,-1
61,2.04,FL,player,2,0.86,338,510,454,738,43
61,2.04,FL,player,3,0.88,1566,405,1668,591,75
61,2.04,FL,player,8,0.72,580,382,648,536,-1
61,2.04,FL,player,9,0.73,474,394,543,573,28
61,2.04,FL,player,24,0.62,300,368,361,525,71
61,2.04,FL,player,34,0.49,570,384,620,550,85
61,2.04,FL,player,42,0.71,520,381,580,553,-1
62,2.07,FL,player,2,0.87,342,510,461,738,43
62,2.07,FL,player,3,0.89,1568,406,1671,593,75
62,2.07,FL,player,8,0.72,579,382,648,536,-1
62,2.07,FL,player,9,0.69,473,394,541,573,28
62,2.07,FL,player,24,0.64,298,368,360,526,71
62,2.07,FL,player,34,0.5,570,384,620,550,85
62,2.07,FL,player,42,0.69,519,380,581,555,-1
63,2.1,FL,player,2,0.89,345,511,466,739,43
63,2.1,FL,player,3,0.89,1568,407,1672,594,75
63,2.1,FL,player,8,0.72,579,381,648,537,-1
63,2.1,FL,player,9,0.62,472,394,541,573,28
63,2.1,FL,player,24,0.63,295,369,358,526,71
63,2.1,FL,player,34,0.5,569,384,620,550,85
63,2.1,FL,player,42,0.69,517,380,579,556,-1
64,2.14,FL,player,2,0.89,346,512,469,739,43
64,2.14,FL,player,3,0.89,1570,407,1674,594,75
64,2.14,FL,player,8,0.74,578,381,648,536,-1
64,2.14,FL,player,9,0.68,472,393,540,574,28
64,2.14,FL,player,24,0.66,291,371,356,528,71
64,2.14,FL,player,34,0.5,568,383,619,551,85
64,2.14,FL,player,42,0.69,515,380,579,556,-1
65,2.17,FL,player,2,0.89,347,511,471,739,43
65,2.17,FL,player,3,0.89,1570,407,1674,594,75
65,2.17,FL,player,8,0.76,577,381,648,536,-1
65,2.17,FL,player,9,0.73,471,393,539,574,28
65,2.17,FL,player,24,0.68,290,371,357,532,71
65,2.17,FL,player,34,0.54,568,383,618,551,85
65,2.17,FL,player,42,0.7,514,380,579,557,-1
66,2.2,FL,player,2,0.88,348,511,473,739,43
66,2.2,FL,player,3,0.89,1570,407,1674,595,75
66,2.2,FL,player,8,0.75,576,381,648,537,-1
66,2.2,FL,player,9,0.78,470,393,538,574,28
66,2.2,FL,player,24,0.61,290,372,358,532,71
66,2.2,FL,player,34,0.51,568,382,618,550,85
66,2.2,FL,player,42,0.74,512,380,578,558,-1
67,2.24,FL,player,2,0.87,350,512,475,739,43
67,2.24,FL,player,3,0.89,1570,407,1674,595,75
67,2.24,FL,player,8,0.75,575,381,648,537,-1
67,2.24,FL,player,9,0.78,469,393,537,575,28
67,2.24,FL,player,24,0.53,291,372,359,530,71
67,2.24,FL,player,34,0.49,569,382,618,550,85
67,2.24,FL,player,42,0.73,511,381,578,560,-1
68,2.27,FL,player,2,0.88,351,510,477,739,43
68,2.27,FL,player,3,0.88,1570,408,1673,594,75
68,2.27,FL,player,8,0.75,574,381,648,537,-1
68,2.27,FL,player,9,0.74,468,393,536,576,28
68,2.27,FL,player,42,0.74,511,381,579,562,-1
